Taxid;Kingdom;Phylum;Class;Order;Family;Genus;Species;Annotation_type;Accession;Submitting_institution;Submitting_country;Submitting_continent;Submitting_region;South_or_north;Assembly_level;Contig_n50;Log_contig_n50;Display_name;Common_name;NCBI_rank;Our_rank;Assembly_length;Log_length;Submission_date;Sequencing_technology;Tech_coarse;Data_timepoint;Project_title
141832;Eukaryota;Acanthocephala;Palaeacanthocephala;Echinorhynchida;Pomphorhynchidae;Pomphorhynchus;Pomphorhynchus laevis;;GCA_012934845.1;Johannes Gutenberg University Mainz;Germany;Europe;Europe;global_north;Contig;126104;5,1;ASM1293484v1;;SPECIES;species;260316196;8,42;30.04.20;"Illumina HiSeq; PacBio RSII";long;2021_January;Pomphorhynchus laevis Genome sequencing and assembly
1196096;Eukaryota;Annelida;Clitellata;Crassiclitellata;Megascolecidae;Metaphire;Metaphire vulgaris;;GCA_018105865.1;Shanghai University of Medicine and Health Sciences;China;Asia;Asia;global_south;Chromosome;3037406;6,48;SUMHS_MV_1.0;;SPECIES;species;728619257;8,86;26.04.21;Oxford Nanopore PromethION;long;2021_June;Metaphire vulgaris isolate:WL Genome sequencing and assembly
6412;Eukaryota;Annelida;Clitellata;Hirudinida;Glossiphoniidae;Helobdella;Helobdella robusta;GENOME_GFF;GCF_000326865.1;DOE Joint Genome Institute;USA;North America;North America;global_north;Scaffold;52195;4,72;Helobdella robusta v1.0;;SPECIES;species;235376169;8,37;20.12.12;Sanger;short;2021_January;Helobdella robusta
6421;Eukaryota;Annelida;Clitellata;Hirudinida;Hirudinidae;Hirudo;Hirudo medicinalis;;GCA_011800805.1;Scientific Research Institute of Physical-Chemical Medicine of the Federal Medical and Biological Agency;Russia;Europe;Europe;global_north;Scaffold;24951;4,4;ASM1180080v1;medicinal leech;SPECIES;species;187546627;8,27;31.03.20;IonTorrent;short;2021_January;Hirudo medicinalis isolate:777 Genome sequencing and assembly
1348078;Eukaryota;Annelida;Clitellata;Hirudinida;Hirudinidae;Poecilobdella;Poecilobdella manillensis;;GCA_015345955.1;Shaanxi Normal University;China;Asia;Asia;global_south;Contig;2277518;6,36;ASM1534595v1;;SPECIES;species;151673145;8,18;10.11.20;PacBio RSII;long;2021_January;Poecilobdella manillensis Genome sequencing and assembly
216498;Eukaryota;Annelida;Polychaeta;Sabellida;Serpulidae;Hydroides;Hydroides elegans;;GCA_001703475.1;Caltech;USA;North America;North America;global_north;Scaffold;5980;3,78;H_elegans_v1.0;calcareous tube worm;SPECIES;species;1026046400;9,01;11.08.16;Illumina HiSeq;short;2021_January;Hydroides elegans strain:CA01 Genome sequencing and assembly
238240;Eukaryota;Annelida;Polychaeta;Sabellida;Siboglinidae;Lamellibrachia;Lamellibrachia luymesi;;GCA_009193005.1;Auburn University;USA;North America;North America;global_north;Scaffold;24086;4,38;LLUY_1.0;;SPECIES;species;687706213;8,84;21.10.19;Illumina;short;2021_January;Lamellibrachia luymesi isolate:2918-KH-0023 Genome sequencing and assembly
283909;Eukaryota;Annelida;Polychaeta;;Capitellidae;Capitella;Capitella teleta;GENOME_GFF;GCA_000328365.1;DOE Joint Genome Institute;USA;North America;North America;global_north;Scaffold;21930;4,34;Capca1;;SPECIES;species;333283208;8,52;25.01.13;Sanger;short;2021_January;Capitella teleta Genome sequencing and assembly
2664684;Eukaryota;Annelida;Polychaeta;;Dinophilidae;Dimorphilus;Dimorphilus gyrociliatus;GENOME_GFF;GCA_904063045.1;UNIVERSITY OF BERGEN/DEPT. OF BIOLOGY;Norway;Europe;Europe;global_north;Scaffold;979161;5,99;Dgyrociliatus_assembly;;SPECIES;species;77897245;7,89;25.08.20;N/A;none;2021_January;Sequencing and analysis of the compact genome of the miniature annelid Dimorphilus gyrociliatus
182803;Eukaryota;Arthropoda;Arachnida;Araneae;Araneidae;Araneus;Araneus ventricosus;GENOME_GFF;GCA_013235015.1;Institue for Advanced Biosciences, Keio University;Japan;Asia;Asia;global_north;Scaffold;22999;4,36;Ave_3.0;;SPECIES;species;3656621265;9,56;02.08.19;"Illumina NextSeq 500; MinION";long;2021_January;Araneus ventricosus draft genome
94029;Eukaryota;Arthropoda;Arachnida;Araneae;Araneidae;Argiope;Argiope bruennichi;GENOME_GFF;GCA_015342795.1;Ernst-Moritz-Arndt University of Greifswald;Germany;Europe;Europe;global_north;Chromosome;284772;5,45;ASM1534279v1;;SPECIES;species;1670285661;9,22;10.11.20;"PacBio Sequel; Illumina";long;2021_January;Genome of the wasp spider, Argiope bruennichi
477319;Eukaryota;Arthropoda;Arachnida;Araneae;Dysderidae;Dysdera;Dysdera silvatica;;GCA_006491805.1;University Barcelona;Spain;Europe;Europe;global_north;Scaffold;25709;4,41;Dsil_genome_draft;;SPECIES;species;1359251851;9,13;01.07.19;"Illumina HiSeq; Illumina HiSeq; PacBio; Nanopore";long;2021_January;Dysdera silvatica Genome sequencing and assembly
202533;Eukaryota;Arthropoda;Arachnida;Araneae;Eresidae;Stegodyphus;Stegodyphus dumicola;GENOME_GFF;GCF_010614865.1;None;Denmark;Europe;Europe;global_north;Scaffold;254130;5,41;ASM1061486v1;;SPECIES;species;2551871595;9,41;14.02.20;"Illumina HiSeq; PacBio";long;2021_January;Genome, methylome and transcriptome of Stegodyphus dumicola.
